Class,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
1,0.287952772,1.728734645,-1.652173046,3.813544188,-1.090927154,-0.984744666,-2.202317927,0.555087932,-2.033892048,-2.734155555,2.368433673,-3.656802651,-0.169534683,-4.74441333,0.765192829,-2.479513556,-4.931111968,-2.547402527,-0.902689803,0.26525021,0.26220151,-0.633527564,0.09289101,0.187612656,0.368708354,-0.132474029,0.576560757,0.309842705,0
1,-0.613695895,3.698772414,-5.534941162,5.620486385,1.64926285,-2.335144981,-0.907188473,0.706362095,-3.747646125,-4.230983836,4.436319074,-4.503801216,-0.954361346,-9.861372108,-0.505329037,0.269281953,0.591319064,1.79599192,-1.08520791,0.354772933,0.319260754,-0.471378905,-0.075890411,-0.667909265,-0.642848416,0.070600107,0.488409528,0.292344974,0
1,1.204934242,3.238069511,-6.010324404,5.720846677,1.548399778,-2.321063516,-0.781880413,0.076619238,-2.976249051,-4.070256863,3.394152086,-4.547742185,-0.063634196,-10.51646521,0.053267384,0.204079529,0.462929331,0.841169059,-2.221383853,0.338160709,0.09834147,-0.84586592,-0.031227769,0.42114641,0.388361412,0.056034744,0.491827823,0.340846686,0
1,-4.991757794,5.213339823,-9.111326298,8.431986352,-3.435515672,-1.827565102,-7.114302844,3.431206631,-3.87564287,-6.868508507,7.15062517,-10.26298404,2.733084936,-10.12752478,-0.262783621,-5.190271038,-8.65571104,-2.024443474,1.56047928,0.098132192,1.189422839,0.247858476,0.29444833,-0.548503502,-0.174616567,0.406702503,-0.402339273,-0.882885795,0
1,-2.219218602,0.727831411,-5.458229947,5.924849847,3.932463824,-3.085984237,-1.677869988,0.86507461,-3.177260289,-3.419207384,3.693173942,-3.978439755,-1.718590875,-8.636297394,-0.242964821,1.174884173,2.134606357,2.594364833,-1.25758898,0.964771804,0.417471746,-0.817343384,-0.028752402,0.025722511,-0.825835343,-0.01308903,0.413291189,-0.131387346,0
1,-28.25505289,21.46720299,-26.87133878,11.73743614,-17.99963029,6.065901352,-41.50679608,-38.98726274,-13.43406632,-24.40318497,3.40932262,-9.608267356,-3.076317968,0.240060358,-2.836676932,-6.594756992,-12.95753099,-5.61352195,-0.248828402,10.44071798,-21.45373628,8.361985192,4.909111121,0.098327945,-1.508739121,0.00871129,-5.407823639,-0.183811045,0
1,-2.312226542,1.951992011,-1.609850732,3.997905588,-0.522187865,-1.426545319,-2.537387306,1.391657248,-2.770089277,-2.772272145,3.202033207,-2.899907388,-0.595221881,-4.289253782,0.38972412,-1.14074718,-2.830055675,-0.016822468,0.416955705,0.126910559,0.517232371,-0.035049369,-0.465211076,0.320198199,0.044519167,0.177839798,0.261145003,-0.143275875,0
1,1.176632673,3.141918139,-6.140444836,5.521820589,1.768514889,-1.727185698,-0.93242891,0.292796545,-3.156826558,-3.898240381,4.77672033,-4.15249885,-0.472990803,-10.25885148,-0.533455592,0.458138563,0.167601789,1.404310894,-1.874015263,0.329567973,0.12937163,-0.803020814,-0.074098356,-0.031084405,0.375366225,0.065896784,0.488257739,0.32587163,0
1,-6.423306456,1.658514509,-5.866439564,2.052064402,-0.615816843,-3.372265711,-5.036555755,2.643106015,-2.274630047,-7.04922936,3.916802557,-4.481279599,-1.027479327,-7.113872782,-0.85277523,-3.839559974,-5.056009988,-1.344497531,1.148472939,-0.713515811,0.641210916,-0.256678382,-2.337232764,-0.158277898,1.198797445,-0.261257807,0.780125484,-0.731800816,0
1,0.745153217,2.809298874,-5.825406357,5.835566426,0.512319881,-0.615622343,-2.916575644,0.776710042,-1.87883185,-4.546935751,4.698795496,-8.507785707,0.718249309,-7.628710147,-2.249578483,-2.558668617,-5.304623663,-0.956938449,-0.585321852,0.402836754,0.28484071,-0.874383479,-0.083995045,-0.651441658,0.454593824,0.050375898,0.756952563,0.383868939,0
1,-7.030308144,3.421990905,-9.525071773,5.270891009,-4.024630276,-2.865681618,-6.989194734,3.791550938,-4.622730336,-8.409664876,6.309044006,-8.576761433,0.246746717,-11.53404602,-0.364265139,-5.452494658,-11.88757002,-3.56358481,0.876018768,0.545698041,1.103397745,-0.541854752,0.036943222,-0.355519004,0.353634382,1.042457993,1.359515632,-0.272188101,0
1,-1.929596927,4.066413278,-4.86518401,5.898602293,-0.552492585,-1.555962453,-3.833623441,0.679511649,-3.463765491,-6.683689229,7.021277748,-11.10249338,1.711755074,-10.44763294,-2.799076159,-6.26174085,-11.64715777,-3.451436142,-0.507536514,0.942488942,1.137211647,0.674245235,-0.531765489,-0.433409351,0.378658562,0.198107291,0.869694412,0.228047852,0
1,1.08043337,0.962830681,-0.278065478,2.743318063,0.412364076,-0.320778353,0.041289549,0.1761703,-0.966951551,-0.194120467,2.140056816,-0.276308753,-1.191305738,-1.880275403,0.398271956,1.367433022,1.5226617,1.026317483,-1.577070478,-0.172658645,-0.008996174,-0.057036144,-0.053691509,-0.026373277,0.400299731,0.072827771,0.027042934,0.063237573,0
1,-1.739340964,1.344520789,-0.534379047,3.195291499,-0.416196142,-1.261960668,-2.340990939,0.713003646,-1.416264999,-2.996669302,0.747478136,-4.596611512,-1.927759702,-4.757074499,-1.247814819,-2.535494251,-5.356464544,-1.974748525,-0.603726269,0.002749478,0.383180108,-0.213952218,-0.336639825,0.237076301,0.246002932,-0.044227636,0.510729075,0.220951594,0
1,-7.030308144,3.421990905,-9.525071773,5.270891009,-4.024630276,-2.865681618,-6.989194734,3.791550938,-4.622730336,-8.409664876,6.309044006,-8.576761433,0.246746717,-11.53404602,-0.364265139,-5.452494658,-11.88757002,-3.56358481,0.876018768,0.545698041,1.103397745,-0.541854752,0.036943222,-0.355519004,0.353634382,1.042457993,1.359515632,-0.272188101,0
1,1.184891123,3.152084205,-6.134779825,5.531252206,1.733866514,-1.816861466,-0.916696278,0.265568287,-3.158014235,-3.890169242,4.736593843,-4.162115192,-0.456696779,-10.26675811,-0.583018263,0.513470571,0.113665406,1.488620359,-1.805576714,0.336441866,0.124235616,-0.82386465,-0.079887356,0.02882779,0.389711469,0.060171071,0.485186935,0.326551572,0
1,-5.766878735,-8.402153678,0.056543246,6.950982945,9.880564026,-5.773191769,-5.748879199,0.721742894,-1.076273579,2.688669933,-1.475145316,-0.050467984,0.113500475,0.984343616,0.363968739,-0.674356809,0.327463514,0.091469915,1.307940738,2.493223891,0.880395097,-0.130435548,2.241471414,0.665345537,-1.890041422,-0.120802764,0.073268559,0.583799418,0
1,-10.64579965,5.918306659,-11.67104259,8.807369179,-7.975501366,-3.586806344,-13.61679705,6.428169346,-7.368451293,-12.88815829,6.854953114,-13.21169503,1.035612343,-13.77895564,1.040448355,-11.29032781,-20.57802205,-7.547824112,3.118479766,-0.046170179,2.571969593,0.206809359,-1.6678014,0.558418754,-0.027897877,0.354253782,0.273328727,-0.152908081,0
1,-0.937843305,3.46288949,-6.445103954,4.932198666,-2.23398307,-2.291561121,-5.695593929,1.338824634,-4.322376553,-8.099119398,7.182967009,-9.445943382,-0.314619968,-12.99146558,-0.136358932,-6.367524375,-12.73439389,-3.845129659,1.00766726,1.129532281,1.066550249,-0.521657289,-0.319917293,-0.405859088,0.90680216,1.16578389,1.374495332,0.729889342,0
1,-5.60369028,5.222192708,-7.516829977,8.117724276,-2.756857953,-1.574564622,-6.33034325,2.998418881,-4.508166893,-7.334377084,7.188723965,-10.65518091,2.594679861,-10.24285908,-0.191158119,-5.50433407,-8.697777413,-1.934225362,1.958749932,0.227525995,1.242896206,0.428408392,-0.101183595,-0.520199121,-0.176937757,0.461449983,-0.106625181,-0.479661948,0
1,0.224414467,2.994498576,-3.432458196,3.986518932,3.760232949,0.165640146,1.099377709,-0.654557103,-2.435415653,-2.276733073,1.846078517,-1.9611946,-0.851166387,-7.122316384,1.0196049,2.131014672,6.443649145,1.592538191,-3.681903552,-0.200846281,0.491337125,-0.984222623,-0.421979358,-1.048057894,0.72641152,0.268624638,0.283689474,0.419101636,0
0,-0.454772055,-0.15411576,2.267191895,-1.600021794,-0.74332969,-0.103501109,-0.504217006,0.226548334,-0.618144606,-0.177304906,-0.613193559,-0.681691767,0.047033351,-0.806682824,-0.053426164,1.031879992,0.340751073,-1.369925788,-0.428082198,0.010752668,0.442226619,1.31044157,-0.212913366,0.113221988,-0.222110689,-0.206105583,0.164366819,0.134538595,0
1,-1.298443233,1.948100449,-4.509946888,1.305804767,-0.019485927,-0.509237784,-2.643397619,1.283545194,-2.515355703,-4.50131481,2.09307501,-5.418888944,-1.247013712,-3.828268179,0.399050337,-6.366499509,-7.550968092,-4.902766666,0.152892032,0.250415437,1.17803195,1.360988581,-0.27201306,-0.325947896,0.290702673,0.841294588,0.643094249,0.20115575,0.01
1,-1.271244192,2.462675269,-2.851395003,2.324480065,-1.37224489,-0.948195687,-3.065234362,1.166926948,-2.268770588,-4.881142927,2.255147489,-4.686386898,0.652374669,-6.174288348,0.594379608,-4.849692387,-6.536520735,-3.119093882,1.71549442,0.560478076,0.652941051,0.081930976,-0.221347831,-0.523582159,0.224228162,0.756334523,0.632800477,0.250187093,0.01
1,-28.70922925,22.05772899,-27.85581113,11.84501291,-18.98381258,6.474114627,-43.55724157,-41.04426092,-13.32015469,-24.58826244,3.481951803,-9.128341286,-3.008255478,0.796579962,-2.102298521,-5.660366441,-13.03278496,-5.392349174,-0.901040818,11.05900429,-22.79760391,8.316275439,5.466229954,0.02385423,-1.527144723,-0.145225187,-5.68233824,-0.439133675,0.01
1,-5.488032171,3.329560681,-5.996296087,3.601719636,-2.023926036,-1.737393477,-4.39685932,0.228394068,-1.675883923,-3.991784632,3.737037681,-6.15018667,0.288738071,-8.760694519,2.344651195,-5.145637851,-6.293478628,-2.137186601,2.995244755,-0.551121115,1.71963126,0.34320916,0.133583642,0.833339534,-0.839775663,0.502009639,-1.937472846,1.521218373,0.01
