Class,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
1.0,0.9420140838408596,0.369044465151307,0.8817242583074194,0.4396298244597417,0.7155832952738078,0.5051681749282965,0.908680275087301,0.6746995163045624,0.6321826578520412,0.7742213771002434,0.0687431253594133,0.8544577121705684,0.5755397070567896,0.8330735312173938,0.3676523343332903,0.8397594181122141,0.766853569712143,0.6623254692400947,0.3170267964940572,0.221848071586399,0.4580598794681841,0.5367285241354486,0.780946476599889,0.7783541817920911,0.5847572646449494,0.2431315525078387,0.7130399604954782,0.6804991894139418,0.0
1.0,0.9367381514009212,0.3798725290336996,0.8476148153930116,0.5003175408817399,0.6280299323126767,0.4209131591791939,0.8378263546826785,0.6860952276086236,0.6139753573660649,0.6624022208828658,0.3450198490104881,0.6961667051255507,0.47501897241953,0.6228463119777201,0.7420991444633498,0.6746190739194792,0.6367739588415666,0.523087583189043,0.3773943931036999,0.2582659514633109,0.4611920215930199,0.4784908377691967,0.7826368224941883,0.7192107762747638,0.742371814809648,0.2612068677975998,0.7600004488165846,0.7212592209266784,0.0
1.0,0.9509362876115628,0.412834688950441,0.7252447092484308,0.622032214674549,0.6769679872247342,0.449570876332152,0.8233559147296508,0.6897504259758991,0.6223263823775098,0.6074565013381763,0.503182014691644,0.4714303856851455,0.6175737825815224,0.498693959478745,0.3170989979364307,0.6700355588006628,0.6250180179764827,0.642769774609496,0.4096230748099548,0.2677207364759125,0.4616448015807553,0.4645273684420922,0.7754813991397393,0.4872245575229439,0.7547514393849172,0.3081494404553113,0.7774873242353879,0.7353006181390616,0.0
1.0,0.9613482487832512,0.3565089489107507,0.8879072400957033,0.4358957846612145,0.6739169024155433,0.4724618128677611,0.8832805184766447,0.6798457649091741,0.6714372134135496,0.7393911773415001,0.3295198618676865,0.8527782100013716,0.3109493562886911,0.7461309404607352,0.6903733554563776,0.8973785232684218,0.8399006148828004,0.792009496130181,0.3089111072049786,0.2281733714858712,0.4557681159764171,0.5119125632041271,0.7767072426875351,0.6600468024598931,0.7469254300728094,0.3139134497546106,0.7067311239825451,0.674482822534938,0.0
1.0,0.7537760579218229,0.4864390062912356,0.6756477486928623,0.7594056287924846,0.5771784969809095,0.3751210398274249,0.7541949970657894,0.7263929185542537,0.4807191679486878,0.5229686135797791,0.6721740034726947,0.3719458711578695,0.9188792842947396,0.386169916217411,0.6072798659949212,0.4994652633801258,0.5182215900061684,0.5692290760094679,0.6679732941879669,0.2556735879063474,0.4808057417080005,0.540055903127693,0.7747860851303953,0.5235111952173255,0.6637217939721808,0.4136833907248937,0.6937735638455216,0.5715048995897616,0.0
1.0,0.898671653745356,0.4327721973617743,0.7070735563146733,0.5676544189426405,0.5931389068103216,0.3194552575441811,0.7670546438237337,0.6990213436605115,0.4907252158980453,0.4997891256298784,0.671783277612142,0.4279674214776144,0.4517220832585982,0.2678582497281384,0.6150050497963769,0.4494817782637006,0.3911727579779368,0.4254338045391994,0.5713909498912598,0.3176583959130462,0.4772788538211648,0.4849764462026755,0.7659378341415076,0.555124538316862,0.8199332382326989,0.5945051506626886,0.8373508718473335,0.8009342409721767,0.0
1.0,0.8559908545074018,0.3866829016179308,0.8488558162358865,0.5114150882970347,0.6453903227878267,0.3866128815672485,0.8310380467463181,0.699892708365196,0.5743262304332111,0.661246899642728,0.4015964313707812,0.7312321451909628,0.4066647801316378,0.6424383069185688,0.6891683448016629,0.752141039633826,0.70290279460592,0.7135133659623772,0.5114042542393668,0.2487594138260014,0.466292593614811,0.5131872325777834,0.7600603864923164,0.7558687354420256,0.6956428346175184,0.3408729065521027,0.7294245811115629,0.6353110695444123,0.0
1.0,0.728323278436245,0.3777304931508818,0.724041508391482,0.3942860969557422,0.6425323601864963,0.2355521052926074,0.7804063684136692,0.7205327676529056,0.6010100117984408,0.5316114964324725,0.4501079832005213,0.6579703410859361,0.3372555784441651,0.5208547404505195,0.5140099824715911,0.5958648762669112,0.6328429072655615,0.6136060098440657,0.5856897516342376,0.191006305009843,0.46877214254253613,0.5003384307328217,0.684333061880152,0.6235771082445054,0.8620217545562253,0.2281445529523792,0.7797336678559887,0.5236788545924075,0.0
1.0,0.895069445256423,0.4602236119944288,0.7194350996539153,0.5900669879943099,0.7065283186236904,0.3270435165420682,0.8514305715096527,0.6872789169525189,0.5060934920606261,0.5547625707274577,0.4242727044169252,0.4968254132570542,0.2335330898209735,0.290820914037471,0.6040760281228335,0.7357315359442193,0.6898841584925275,0.7192909426816056,0.2860357731078083,0.2765674145590499,0.4639070538140334,0.460410127187847,0.7636636042892194,0.6063790226917186,0.7272794667462616,0.3077794648023475,0.7862376808191764,0.7633853837325874,0.0
1.0,0.7727793219889532,0.4861689527365621,0.6288929498337592,0.7783224860589133,0.556462919160481,0.3554787268497765,0.738312438207028,0.7335308574412034,0.5147848018414858,0.5370891805591669,0.6695882299384865,0.3901155658449761,0.9411035070447272,0.3911343930300699,0.5971826328403209,0.5176512471599035,0.5195455908340316,0.5624401761535506,0.627528951790424,0.2467817983914663,0.4797362838448943,0.5295886359481542,0.7907902518574479,0.5156854487635615,0.6640563728103459,0.3996282166272491,0.6651075418068679,0.4950208493376274,0.0
